id,created_at,author_id,text,geo
1953022867429376419,2025-08-06 09:18:31+00:00,815198860503056384,@fallruckziehr Und Frankfurt trägt nur on,
1953022340771586491,2025-08-06 09:16:26+00:00,705272885703790592,Eintracht Frankfurt ihr Schanden für die Menschheit was für nur Hardtickets seid ihr ein Konzert oder was ihr scheiß Jockel habt ihr die auch erfunden oder was,
1953022254926745995,2025-08-06 09:16:05+00:00,1503689798682300418,RT @ArslanA__: Kein Scherz: Diese Frau leitet das „Forschungszentrum Globaler Islam” an der Goethe-Universität Frankfurt. https://t.co/IpYy…,
1953022129651294565,2025-08-06 09:15:35+00:00,2772380007,RT @ArslanA__: Kein Scherz: Diese Frau leitet das „Forschungszentrum Globaler Islam” an der Goethe-Universität Frankfurt. https://t.co/IpYy…,
1953022100450504881,2025-08-06 09:15:28+00:00,2247662622,RT @ArslanA__: Kein Scherz: Diese Frau leitet das „Forschungszentrum Globaler Islam” an der Goethe-Universität Frankfurt. https://t.co/IpYy…,
1953022016660901968,2025-08-06 09:15:08+00:00,1194743357815316480,Available Ticket Hans Zimmer Tickets  Berlin 24 OCT Germany  Hamburg 26 OCT - 27 OCT Germany  Stuttgart 29 OCT - 30 OCT Germany  Düsseldorf 01 NOV Germany  Frankfurt  03 NOV Germany.,
1953021879783916017,2025-08-06 09:14:36+00:00,1851670036416540672,RT @OvertonMagazin: Wir sollten heute alle nach #Hiroshima schauen. Dort gedenkt man dem 80. Jahrestag des Atombombenabwurfes. Wir sollten…,
1953021723307057354,2025-08-06 09:13:58+00:00,1825305677725609984,"Eintracht Frankfurt vs SV Werder Bremen  German Bundesliga Commerzbank Arena Frankfurt, Germany  23/08/25 Sat 15:30  GET YOUR E TICKETS HERE",
1953021696232853528,2025-08-06 09:13:52+00:00,1376843292990660608,"@Barschinator187 Frankfurt, Chemie und Koblenz auf Hass sonst ganz gut",
1953021478284247462,2025-08-06 09:13:00+00:00,1849508775159353345,RT @ArslanA__: Kein Scherz: Diese Frau leitet das „Forschungszentrum Globaler Islam” an der Goethe-Universität Frankfurt. https://t.co/IpYy…,
1953021472458301738,2025-08-06 09:12:59+00:00,211328482,"RT @ungefesselt: Frage an die #autor Bubble, insbesondere die #selfpublisher   Lohnt dich der Besuch einer großen Buchmesse (Frankfurt, Lei…",
1953021455202992481,2025-08-06 09:12:54+00:00,1586093077,RT @ArslanA__: Kein Scherz: Diese Frau leitet das „Forschungszentrum Globaler Islam” an der Goethe-Universität Frankfurt. https://t.co/IpYy…,
1953020915521892449,2025-08-06 09:10:46+00:00,1558395584570073088,"@mawilms Bis 9 Jahre in Frankfurt am Main, bei Großeltern, schöne sorglose Zeit, dann nach Berlin, mit einem halbjährigen Abstecher nach Bayern. Kindheit unbeschwert, zwei jüngere Schwestern oft mitgeschleppt 😉 aber das war halt so. Viel draußen gewesen, Fussball gespielt, mit Kumpels",
1953020796261015979,2025-08-06 09:10:17+00:00,1782706130080137216,RT @EinFrankfurtTR: 😘 @sariduvartr   Frankfurt 2-0 Dortmund https://t.co/WbliFEKU8N,
1953020716447592652,2025-08-06 09:09:58+00:00,2529889165,@Swin_bruecks @KDan1903 @LilaWeisser @1954x1887 Gladbach für mich da immer so ein Paradebeispiel. Früher war immer sofort klar: Bökelberg. Heute:  hmmm warte...Frankfurt isses nicht...,
1953020535027216505,2025-08-06 09:09:15+00:00,1009760755112177664,RT @ArslanA__: Kein Scherz: Diese Frau leitet das „Forschungszentrum Globaler Islam” an der Goethe-Universität Frankfurt. https://t.co/IpYy…,
1953020484573966378,2025-08-06 09:09:03+00:00,1914029347406843904,"Verdient. Imagine man will Verbote von freiwilligen inklusiven Aktionen und will dann auf inklusiv tun. Wünschte alle CSDs würden diesen Schritt wagen, dann hätte es auf dem CSD in Frankfurt auch keine CDU gegeben. https://t.co/7Nr47qnj1G",
1953020164082970800,2025-08-06 09:07:47+00:00,1939692168106414080,RT @EinFrankfurtTR: 😘 @sariduvartr   Frankfurt 2-0 Dortmund https://t.co/WbliFEKU8N,
1953019989587284418,2025-08-06 09:07:05+00:00,1952776373837160448,😘 @sariduvartr   Frankfurt 2-0 Dortmund https://t.co/WbliFEKU8N,
1953019916367343886,2025-08-06 09:06:48+00:00,23578972,RT @ArslanA__: Kein Scherz: Diese Frau leitet das „Forschungszentrum Globaler Islam” an der Goethe-Universität Frankfurt. https://t.co/IpYy…,
1953019612699763125,2025-08-06 09:05:35+00:00,1765800451851575296,RT @OvertonMagazin: Wir sollten heute alle nach #Hiroshima schauen. Dort gedenkt man dem 80. Jahrestag des Atombombenabwurfes. Wir sollten…,
1953019365730701556,2025-08-06 09:04:36+00:00,2886792587,@Ebbelwoicola @sounds2move Klingt schon toll die Idee mit dem See. 2070 werde ich aber wohl nicht mehr ganz schaffen. … und geht es wieder zurück nach Frankfurt?,
1953019253751202287,2025-08-06 09:04:10+00:00,1886071005212188672,RT @EinFrankfurtTR: 😂 @FCBayernTurkish  Frankfurt 5-1 Bayern - Sex On The Beach https://t.co/7RjZrs0Rjv,
1953019222201717034,2025-08-06 09:04:02+00:00,1542564140165828609,@hubertus_knabe @PhilipPlickert @fbanaszak Dieser Hass auf Deutschland zieht sich wieder ein roter Faden durch die Geschichte der @Die_Gruenen. Er ist Teil ihres Selbstverständnisses. Frankfurt am Main 1990: https://t.co/BNimOfbjM0,
1953019027304923497,2025-08-06 09:03:16+00:00,1762538696312578048,RT @EinFrankfurtTR: 😂 @FCBayernTurkish  Frankfurt 5-1 Bayern - Sex On The Beach https://t.co/7RjZrs0Rjv,
1953018925911814554,2025-08-06 09:02:51+00:00,1942059568013737984,RT @EinFrankfurtTR: 😂 @FCBayernTurkish  Frankfurt 5-1 Bayern - Sex On The Beach https://t.co/7RjZrs0Rjv,
